"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6552","acceptOrderWithoutCourierId","","","passed","","","AcceptOrderTest","AcceptOrderTest",""
"","10815","createCourierWithoutLogin","","","failed","","","CreateCourierTest","CreateCourierTest",""
"","2531","createDuplicateCourier","","","failed","","","CreateCourierTest","CreateCourierTest",""
"","917","createOrderWithDifferentColors[Цвет самоката: Черный]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","1018","createOrderWithDifferentColors[Цвет самоката: Серый]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","6439","acceptOrderWithWrongCourierId","","","passed","","","AcceptOrderTest","AcceptOrderTest",""
"","4348","getOrderWithoutTrack","","","passed","","","GetOrderByTrackTest","GetOrderByTrackTest",""
"","2061","acceptOrderWithWrongOrderId","","","passed","","","AcceptOrderTest","AcceptOrderTest",""
"","941","loginNonExistentUser","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","2095","acceptOrderWithoutOrderId","","","failed","","","AcceptOrderTest","AcceptOrderTest",""
"","396","deleteCourierWithoutId","","","failed","","","DeleteCourierTest","DeleteCourierTest",""
"","1041","createCourierWithoutPassword","","","failed","","","CreateCourierTest","CreateCourierTest",""
"","4157","getNonExistentOrder","","","passed","","","GetOrderByTrackTest","GetOrderByTrackTest",""
"","945","createOrderWithDifferentColors[Цвет самоката: Без цвета]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","4853","checkOrdersListIsReturned","","","passed","","","GetOrdersTest","GetOrdersTest",""
"","1034","loginWithoutLogin","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","1562","loginSuccessfully","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","499","deleteNonExistentCourier","","","passed","","","DeleteCourierTest","DeleteCourierTest",""
"","1688","createCourierSuccessfully","","","passed","","","CreateCourierTest","CreateCourierTest",""
"","1709","deleteCourierSuccessfully","","","passed","","","DeleteCourierTest","DeleteCourierTest",""
"","936","loginWithoutPassword","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","1776","createOrderWithDifferentColors[Цвет самоката: Черный и серый]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","5991","getOrderByTrackSuccessfully","","","passed","","","GetOrderByTrackTest","GetOrderByTrackTest",""
"","932","loginWithWrongCredentials","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","6739","acceptOrderSuccessfully","","","passed","","","AcceptOrderTest","AcceptOrderTest",""
